Track name,Artist name,Album,Playlist name,Type,ISRC
"Costa · MYGAL · Bebe · Costa · Bebe · Mygal - Ficción","","","Favoritos","Playlist",""
"Arce · Omar Montes - Tinder","","","Favoritos","Playlist",""
"Delgao · Only - Flaka","","","Favoritos","Playlist",""
"Cosculluela · Carlos Armando Rivas · Jaime Cosculluela · Joan Heriberto Tejeda · Joel Vázquez · José Fernando Cosculluela · José Javier Gómez · Samuel Serrano - DECIR ADIÓS","","","Favoritos","Playlist",""
"Kid Astro · WEST DUBAI - Todo el Día","","","Favoritos","Playlist",""
"VF7 · Lunay · Jefnier Osorio · Joan Antonio Gonzalez · Jorge Cedeno · Nino K Segarra · Sora And Company 1 · Valeria Fernandez - Codigo Secreto","","","Favoritos","Playlist",""
"Ozuna · Ovi · Jan Carlos Ozuna Rosado · Ovideo Crespo - Envidioso","","","Favoritos","Playlist",""
"Juanka · Jhayco - ¿Ahora Qué?","","","Favoritos","Playlist",""
"JHAYCO · Myke Towers - Subiendo De Nivel (Remix)","","","Favoritos","Playlist",""
"EMCEE - Tower","","","Favoritos","Playlist",""
"J Abdiel · Yan Block - Deja Vu (feat. Yan Block)","","","Favoritos","Playlist",""
"Yung Sarria · Alejandro Gil Rodriguez · Marco David Diaz Flores · Nelson Steven Sarria Castro - Trappin","","","Favoritos","Playlist",""
"Chanell - Inmoral","","","Favoritos","Playlist",""
"Anuel AA · Ozuna · Emmanuel Gazmey · Felix Ozuna · Jan Carlos Ozuna Rosado · Jesus Manuel Nieves Cortes · M. de la Cruz · Marcos Masis - 100","","","Favoritos","Playlist",""
"Mora · Jhayco · Gabriel Mora Quintero · Jesús Manuel Nieves Cortez - 512","","","Favoritos","Playlist",""
"Arcangel · Brytiago · Gigolo y La Exce - Todos la Conocen","","","Favoritos","Playlist",""
"Sahir - Fake Love","","","Favoritos","Playlist",""
"Arcangel · Bad Bunny - Infeliz feat. Bunny Bunny","","","Favoritos","Playlist",""
"Dalex · Sech · Justin Quiles - Perfume","","","Favoritos","Playlist",""
"Tainy · Alvaro Diaz · Feid - A Mi También","","","Favoritos","Playlist",""
"Alejandro Deese · J Heras - Medusa","","","Favoritos","Playlist",""
"Eladio Carrion · Brytiago · Bryan Santiago - 3 Am","","","Favoritos","Playlist",""
"Eladio Carrion · Jhayco - Hielo","","","Favoritos","Playlist",""
"Eladio Carrion · Miky Woodz · Miguel Angel Rivera Rodriguez - Mala Mia","","","Favoritos","Playlist",""
"Eladio Carrion · Arcangel - Vida Buena (Remix)","","","Favoritos","Playlist",""
"Bless · Anthony Xavier Benitez Elizalde · Geovanny Javier Chasiloa Caza · Cesar Andres Riofrio Cardenas - Fotos","","","Favoritos","Playlist",""
"Yan Block · Jay Wheeler · DJ Nelson - Vete Pal Carajo","","","Favoritos","Playlist",""
"Sahir - En la Mia","","","Favoritos","Playlist",""
"Nevo Angel · Paul Married - Stussy","","","Favoritos","Playlist",""
"Oscu · Kifykify · Oscu · Kifykify - Ta Chido","","","Favoritos","Playlist",""
"Urbøi · Uzielito Mix · El Habano - Para Lisa","","","Favoritos","Playlist",""
"Rauw Alejandro - Strawberry Kiwi","","","Favoritos","Playlist",""
"Arcangel · Jhay Cortez · Darell - Normal","","","Favoritos","Playlist",""
"Yandel · Myke Towers · Natti Natasha · Darell · Osval Elias Castro · Natalia Alexandra Gutierrez · Luian Malave · Edgar Wilmer Semper-Vargas · Xavier Alexis Semper-Vargas · Kedin Maysonet · Pablo C Fuentes · Rafael Salcedo · Michael Torres Monge · Llandel Veguilla Malave - Diablo en Mujer","","","Favoritos","Playlist",""
"Alex Sensation · Myke Towers · Jhayco · Arcángel · De La Ghetto · Darell - La Calle","","","Favoritos","Playlist",""
"Morad · Morad El Khattouti - Yo No Voy","","","Favoritos","Playlist",""
"Jeeiph - Bonita","","","Favoritos","Playlist",""
"Rei · Julian reininger - Mente Gitana","","","Favoritos","Playlist",""
"Skechi - Qué Le Voy a Hacer","","","Favoritos","Playlist",""
